text,label,source
لم تفهمنـــــي .. ولـــــن تفهمنـــــــــي ­،،، فانــــا احدثـــك بقلبــــي .. وانــــت تحدثنـــــي بعقــــــلك!!!,حزين,emotional_tone
نيجيريا بتلاعب اليابان في الاوليمبياد واول 10 دقايق 2/2 الحياه سريعه سريعه في الاوليمبيكيات ماتش برعايو بيس 13,متفاجئ,emotional_tone
free7 من حقاره ووضاعه الهلال يحيي الشهري سجل عليهم بنفس حركه الجربوع !,غاضب,emotional_tone
ايا راس دكتوره !!؟؟؟ هول بالشكل شوي بيشبهوا البني ادم بس مركبين مخ بهيم  قلب مصاصي دماء حبيبتي,غاضب,emotional_tone
يخربييييييييييييت العسسسسسسسسسسسسسل يا جودعان :D :D الواحد لازم يحب العربي بقئ كده بصراحه حلاوه...,متفاجئ,emotional_tone
طيب واش الحل انا مره خايفه وكنت اعتقد انو نفس الثانوي بس للاسف انصدمت ومن اثر الصدمه مو قادره اذاكر,متوتر,emotional_tone
حاليًا فيه سلام داخلي والحمدلله على هالنعمة.,هادئ,synthetic_calm
اوجعتني لجلهم وضحكت بوسط حضنهم  وتقول ابالغ في حزني؟ الله عليك ياموجعنـي الله عليك.  الم,حزين,emotional_tone
افتتاح الاوليمبياد و البطوله نفسها بالنسبالي بتبقي فرحه بعيدا عن اللي احنا فيه,سعيد,emotional_tone
الطبيب النفسي ممكن ينصحك و يهز فيك ، بس يقرر اللي غابوا يعودوا ليك .. !,متفاجئ,emotional_tone
حاليًا مليان هدوء بدون أي دراما أو مشاكل.,هادئ,synthetic_calm
تقريبا ليا اكتر ساعتين بتفرج في القنوات علي الاوليمبياد ..الجو والفرق واللاعيبه حاجه جميله بجد ... شرف لاي حد يمثل بلده في التجمع الكبير دا,سعيد,emotional_tone
من بدري أشعر بإجهاد من كل شيء وأفكر آخذ وقت لنفسي.,تعبان,synthetic_tired
مانول جوزيه قال كل حاجه لباتشيكو في الدوري المصري الا انو لما الحكم يكون غبي و معر* المفروض يقلعله هدومه   باصي لعفيفي,غاضب,emotional_tone
H: المؤلم في هذا الامر ان الشعوب المجاوره للعراقيين منبهره بهذه الانسانيه .. و كان العراقيين من كوكب اخر .  الصدمه,متفاجئ,emotional_tone
من كثر التفكير حاس إني تعبان جدًا وأحس أني مستهلك من كثر الإلتزامات.,تعبان,synthetic_tired
مبتفرجش علي الاوليمبياد والكوره مبفهمهاش ومش معايا فلوس ادخل الافلام الجديده ومش عارفه اواكب العصر خالص,حزين,emotional_tone
الاوليمبياد يا حاج 😅,سعيد,emotional_tone
من الصباح مليان تعب داخلي وحاس أن النوم هو الحل الآن.,تعبان,synthetic_tired
CNN قذره وبالعربي ان شاء الله كل امريكا تقع بل وتحترق وﻻ يبقي فيها ﻻ اسم وﻻ مكان علي خريطه العالم ..مصر هتجننكوا يا قاذورات ..,غاضب,emotional_tone
يا وليد حاطط السعوديه في راسك بكل تغريداتك وانت في عاصمتها يا اخي احنا ماعرفنا نلم الغنم حقنا  نرجع نلوم الغير,غاضب,emotional_tone
اومال ضاكتوره ايه بقي يا حسره *مسم*,حزين,emotional_tone
حاليًا كان هادئ ومرتاح وكأن كل شيء في مكانه الصحيح.,هادئ,synthetic_calm
ابتسم رغم ما بي من وتقف دموعي كالحجر بين مقلتي,حزين,emotional_tone
انتو بقيتوا منتشرين كده ليه,متفاجئ,emotional_tone
مش عارف الم المنهج,حزين,emotional_tone
صبري رحيل بيحاول يعمل اي حاجه عشان هينافس علي معلول علي مركزه، طب ما كان من الاول !!,غاضب,emotional_tone
حاليًا ما فيه توتر أو قلق وأتمنى تبقى هالفترة بهذا الهدوء.,هادئ,synthetic_calm
احساس غريب عندما  تفقد شخص وتتذكر اجمل  لحظاتكك معہ فَ تظھر  بسمہ علي.  وجهك ودمعه ۈ ﻟا تعلم.هل انت  سعيد ل تذكرهہ ام لِ فقدانہ,حزين,emotional_tone
يلاحظ في مقدمه الرساله ونهايتها اطراء جم لعلماء حائل ولاسره ال الرشيد يدل علي اهميه حائل العلميه انذاك.,سعيد,emotional_tone
مش لما يلعب الاول علشان نشتمه 😂 هتبقي ضحك فشخ .. لقطه الاوليمبياد والله لو حصلت,سعيد,emotional_tone
مصر بتلعب رفع اثقال اهي. وربنا امتع رياضه في الاوليمبياد. و احسن مزيع 😂,سعيد,emotional_tone
جو البيت كان هادئ ومرتاح وحسّيت أن قلبي مطمّن.,هادئ,synthetic_calm
رجعوا حماده هفترض ان انت عبيط ومش عارف انك بتمثل بلدك والمفروض شايل علامها في افتتاح الاوليمبياد. محدش جنبك لسعك قفا وقالك انت بتعمل ايه؟!,متفاجئ,emotional_tone
انا كمان فاشله في كل الالعاب اللي احنا فاشلين فيها و كنت استحق فرصه في الاوليمبياد,حزين,emotional_tone
لو مكنش عندي برد كنت شخرت,غاضب,emotional_tone
صباحي مرتاح نفسيًا وكأن كل شيء في مكانه الصحيح.,هادئ,synthetic_calm
انا حالياً عندي قدره اخسر اي حد قدامي ف محدش ييجي علي سِكتي دلوقتي عشان هشوطه اقسم بالله وهلعب بيه الكوره ابعدوا عن وش امي انا مش طايقه نفسي,غاضب,emotional_tone
احا مصر بقالها يومين بتكسب في الاوليمبياد ، انا متوغوش,متفاجئ,emotional_tone
جو البيت ما فيه توتر أو قلق والحمدلله على هالنعمة.,هادئ,synthetic_calm
: الجيش الحر يقبض علي داعشي وهو مصاب يدخن ويقول امراء داعش بتحشش ؟,غاضب,emotional_tone
مافيه هديه للي تاعب نفسه معاك والا نفسي نفسي????????,حزين,emotional_tone
اكثر ماده خايفه منها الاجتماعيات,متوتر,emotional_tone
Mama said: هتيجبي ملاحق يا هيدي,حزين,emotional_tone
3 ربنا يخليهوملك وتفرح بيهم ❤,سعيد,emotional_tone
بعد يوم طويل ما عندي طاقة حتى للأشياء البسيطة وأتمنى ألقى وقت أريح فيه بالي.,تعبان,synthetic_tired
بسبب الضغط طاقتي كانت شبه منتهية وودي أختفي عن كل شيء اليوم.,تعبان,synthetic_tired
اووووووووووووووووووووووه اقوي مفاجاه في تاريخ الاوليمبياد بالكااااااااااااااااااااامل  ITA  ITA  ITA ايطالياااااااااا مستحيييل اول الدهب,متفاجئ,emotional_tone
صباحي فيه سلام داخلي وحسّيت أن قلبي مطمّن.,هادئ,synthetic_calm
Alatar صباااح الورد,سعيد,emotional_tone
جو البيت ما فيه توتر أو قلق وحسّيت أن قلبي مطمّن.,هادئ,synthetic_calm
حتي الاوليمبياد محطوط علينا فيها بلد فقر 😂,حزين,emotional_tone
الصرخي يحطم كهنوتيه السيستاني الصرخيُّ:  مخزيهٌ وفاضحهٌ وتسببت باِنهيارِ العراق,غاضب,emotional_tone
: طاغي حضوره مايشبهه (احد) ازرق (هلالي) بالسماء عالي  سيد النوادي بكل ارض (وبلد) وجماهيره بكل (مدرج) تلالي    الهلال متعه الر…,سعيد,emotional_tone
: ياناس سفلوا فيها ودقوا خشمها بس بعيد عن هتك الاعراض ربي يتكفل فيها السلقه   كلنا ضد مريم بيفور64,غاضب,emotional_tone
عز الدين بيحب وونيس قفشه????????????????????????????????????????????????????,متفاجئ,emotional_tone
من بدري ما عندي طاقة حتى للأشياء البسيطة وحاس أن النوم هو الحل الآن.,تعبان,synthetic_tired
:   لا تبحثوا كثيراً عن الفاعل فهو من تقاعس عن كسرحصار حلب ومن خرج من جيش الفتح ومن اشتهر بالاغتيالات وببيع…,غاضب,emotional_tone
لانه لا كسر للانقلاب الا بعوده الرئيس المنتخب المتقلب عليه غير كده تهييس وبيضحكوا عليكوا مندوبين امريكا والصهاينه بتبديل ع&amp;  هنرجع مرسي لانه,حزين,emotional_tone
في واحد من الاوليمبياد اتسحبت منه الفضيه عشان ثبوت تعاطي المنشطات .. وابننا محمد ايهاب المصري هيصحي الصبح يلاقي خبر حصوله عالمميداليه ! : D,سعيد,emotional_tone
حاليًا كان هادئ ومرتاح بدون أي دراما أو مشاكل.,هادئ,synthetic_calm
الينت ايه غير رقه و نضافه,سعيد,emotional_tone
العاب القوي .. عروس الاوليمبياد  Athletics  Rio2016  Olympics,سعيد,emotional_tone
من بدري ما عندي طاقة حتى للأشياء البسيطة وأحتاج أرتاح شوي.,تعبان,synthetic_tired
هاليومين كان هادئ ومرتاح والحمدلله على هالنعمة.,هادئ,synthetic_calm
والصفويين الجبناء اذناب الاحتلال يحررون شئ ؟ طيران الاحتلال الامريكي هو المظله لهم. الطيران الذي اباد مدن الفلوجه والانباروغيرها.,غاضب,emotional_tone
انت داري بانشغالي ولا حبك شئ خيالي,سعيد,emotional_tone
ده احنا مبنلمسش الكوره !!!,متفاجئ,emotional_tone
: العالم لم يعد مُخيف   قلبي هو الذي يُخيفني.  سعود بن الشيخ,متوتر,emotional_tone
online  لماذا لا تنصبين نفسك مفتيه عام المملكه وتريحن المفتي من المسؤوليه عكاظ وكتابها يريدون افساد المجتمع عندما تتحدث الرويبظه,غاضب,emotional_tone
هاليومين كان رايق بدون إزعاج وحسّيت أني أتنفس براحة.,هادئ,synthetic_calm
يا الف حسره علي اللي شفتهم جدعان,حزين,emotional_tone
مسائي فيه سلام داخلي وما كان في شيء يضايقني.,هادئ,synthetic_calm
هاليومين مرتاح نفسيًا وهذا النوع من الأيام يعجبني.,هادئ,synthetic_calm
نفسي اعرف لحد امتي هيفضل الحال دا تتفرج ع الاوليمبياد تحس مصر ميته من خمسين سنه,حزين,emotional_tone
RO    :     يتعلموا من قطر اللي بتشتري اجانب وتجنسهم وتوفرلهم كل سبل الراحه عشان تجيب ميداليه باسمها..اه يابلد اب…,غاضب,emotional_tone
imran   انا مش فاهمه 😂😂,متفاجئ,emotional_tone
2222: يلا يا جماعه حفله عمرو دياب خلصت نريح شويه ونبدا نكتئب ونعشم نفسنا اننا هنروح الحفله التانيه وبعدين نقطع شرايينا يلا.,حزين,emotional_tone
مسائي مليان هدوء والحمدلله على هالنعمة.,هادئ,synthetic_calm
كتبت تويته امبارح اني خايفه من يوم الجمعه جدا من غير اي سبب .وكان خوفي ده علي حق لاني عشت اكتر يوم وحش في حياتي تقريبا,متوتر,emotional_tone
خايف يخون الصمت و اتكلم .,متوتر,emotional_tone
اهداء من الغوطه الشرقيه بريف دمشق لكل من قاتل لفك الحصار عن حلب الله اكبر  الغضب لحلب  ملحمه حلب الكبري,سعيد,emotional_tone
كل الاحزان مكروها الا حزننا علي الحسين فهو عشق تحبه النفوس والقلوب وتدمع لاجله العيون.  الحسين,حزين,emotional_tone
تاريخ حائل عمره لا يقل عن 600سنه والحقيقه منذ 1400سنه فكيف يختزل بمبني طيني عمره 600سنه,غاضب,emotional_tone
: الروافض امام الكاميرات هيهات منا الذله وفي المعارك يهربون شاهد اجبن خلق الله  ملحمه حلب الكبري,غاضب,emotional_tone
والموضوع وصل دلوقت ان فيه شخص كدا ع الفايسبوك لقيت مشير كاريكاتيرات عن الاوليمبياد سخريه من الاسلاميين وحاطط علي بروفايله علم اسرائيل,غاضب,emotional_tone
قولي احبك كي تزيد وسامتي ف بغير حبك لا اكون وسيما,سعيد,emotional_tone
انت من خوف الفقر في فقر، ومن خوف المرض في مرض، وتوقع المصيبه مصيبهٌ اكبر منها  درر النابلسي,متوتر,emotional_tone
الحمدلله وباذن الله يفرح المسلمين بتحرير الشام اجمع  مبروك فك حصار حلب,سعيد,emotional_tone
انا خايفه افتح فيسبوك,متوتر,emotional_tone
كفرشيما تتشح بالسواد مرتين في اسبوع  ملحم بركات وام  ماجده الرومي  لبنان  سواد الليالي,حزين,emotional_tone
:  نافذه علي مصر | محمد جميل : الغرب لما يحرك ساكناً عندما شاهد الديمقراطيه تقتل بالرصاص,حزين,emotional_tone
جو البيت كان هادئ ومرتاح بدون أي دراما أو مشاكل.,هادئ,synthetic_calm
اختها خايفه من الفضيحه البنت تخاف الموضوع يوصل لابوها ويسوي فيها شيء,متوتر,emotional_tone
علي فكره القرد كان في حزبه قبل كده ولما حصل انقلاب 99 هو خلع راح امريكا واردوغان عمل حزب الاخوان ده وكان بيساعده,غاضب,emotional_tone
: 2   حوثي منشق. يفضح المشروع الايراني باليمن   اليمن  صنعاء  البحرين  خطر ايران  حزب الشيطان   ايران دوله ارهابيه,غاضب,emotional_tone
كفو يا طيران الامارات ???????? و الي الامام,سعيد,emotional_tone
والله انا كل ما اشوف الناس بتتكلم عن الاوليمبياد الاقيهم بيحكوا ان ولدنا بينداس عليهم للاسف 😎,حزين,emotional_tone
و علي صعيد اخر الارجنتين و البرتغال عاملين ماتش حكايه دلوقتي في الاوليمبياد ما تخسرش المتعه دي و اتفرج 󾍇,سعيد,emotional_tone
8   kuniv امتحان ارض وكون لفوزيه الرويح طبيعي 7 صفحات ؟! كلها اشرح و اكتب و و و و .... ؟!,متفاجئ,emotional_tone
هو الالحاد بقي موضه هو كمان !!!!!!!,متفاجئ,emotional_tone
بعد يوم طويل أحس أني مستنزف بالكامل وأحتاج أوقف كل شيء بس عشان أتنفس.,تعبان,synthetic_tired
ان الشيء المؤلم جداً، هو الشوق لشخص قد رحل عن هذه الحياه.  سلمان البحيري  الشوق  الفقد  الرحيل,حزين,emotional_tone
ياجماعه انا خايف احرقلكم الاوليمبياد يعني بس امريكا والصين هما اللي بيتنافسوا عالمركز الاول زي كل سنه واحنا بنفرح بالبرونز :),متوتر,emotional_tone
شفنا اشون استفاد صدام من الزي العربي. هو منو طيح حظ النغل صدام غير خيانه اعراب الخليج.,غاضب,emotional_tone
بسبب الضغط طاقتي كانت شبه منتهية وأحتاج أوقف كل شيء بس عشان أتنفس.,تعبان,synthetic_tired
الي هو خايفه بجد اخسر اغلي ناس عندي بسبب دماغي وبسبب الوسواس الي دايما في دماغي,متوتر,emotional_tone
ههههههههههههههههههههههههههه اقسم بالله !!,سعيد,emotional_tone
: رعاه البغال يتطاولون في البنيان     هُبل الثاني     يدخل الحرم ليلقي بظلاله علي الكعبه المشرفه  اماره السفهاء,غاضب,emotional_tone
بعد يوم طويل طاقتي كانت شبه منتهية وأتمنى ألقى وقت أريح فيه بالي.,تعبان,synthetic_tired
خايف انا خايف لو امشيلك سنين!,متوتر,emotional_tone
2iL: مافي اخيس من شعور انك خايف من اختبار وبنفس الوقت ما تذاكر.,متوتر,emotional_tone
معقول ! دوله (عُظْمي) لا يوجد في شعبها من يحكمها سوي اوسخ رجل او اوسخ امراه !  بس بقول !  امريكا,متفاجئ,emotional_tone
عاجبني فششششششخ لبس بريطانيا في الاوليمبياد شياكه فشخ هو والمانيا,سعيد,emotional_tone
اليوم مرهق جسديًا ونفسيًا وأحتاج أوقف كل شيء بس عشان أتنفس.,تعبان,synthetic_tired
من عنيا يا عمر  احنا تحت امرك يا باشا ????,غاضب,emotional_tone
اللي يشوفها في الشارع ميشوفهاش ع الانستجرام,متفاجئ,emotional_tone
بسبب الضغط طاقتي كانت شبه منتهية ومو قادر أركز على أي شيء.,تعبان,synthetic_tired
صباحي أقرب للسكينة وحسّيت أن قلبي مطمّن.,هادئ,synthetic_calm
بسبب الضغط أحس أن جسمي ثقيل وأفكر آخذ وقت لنفسي.,تعبان,synthetic_tired
هاليومين مرتاح نفسيًا بدون أي دراما أو مشاكل.,هادئ,synthetic_calm
وعليك قبلنا يانجم النجوم ياعندليب الحب والاحساس,سعيد,emotional_tone
جيلان ليش متردي,حزين,emotional_tone
لجنه الرياضه في البرلمان بدل ما تناقش امور اللاعبين ال مثلوا مصر في الاوليمبياد وازاي نفيد ونستفيد ونحسن اوضاعهم بيناقشوا مشاكل الاولتراس,غاضب,emotional_tone
:       khalil علي التويتر يشتموك وعلي ارض الواقع لو تقولها يقتلوك ثم يقولون,غاضب,emotional_tone
مرعوبه من فكره ان الوقت يسرقنا من بعض قبل ما اعرفكم انا اد ايه بحبكم،لازم احبكم الحُب اللي تستحقوه❤,متوتر,emotional_tone
حماده طلعت اللي رفع علم 🇸🇦 في الاوليمبياد طلع ظابط في القوات المسلحه... ابقوا ورونا هترحلوه ازاي  الاخوات وفولورز دعم,غاضب,emotional_tone
من بدري أحس أني مستنزف بالكامل وأحتاج أوقف كل شيء بس عشان أتنفس.,تعبان,synthetic_tired
وقتي الحالي ما فيه توتر أو قلق بدون أي دراما أو مشاكل.,هادئ,synthetic_calm
Nour مهو شغال عادي المشكله في الفون عند كله .. حاول تحب اللاب بقي :D,سعيد,emotional_tone
حاليًا مرتاح نفسيًا وأتمنى تبقى هالفترة بهذا الهدوء.,هادئ,synthetic_calm
من الصباح أشعر بإجهاد من كل شيء وحاس أن النوم هو الحل الآن.,تعبان,synthetic_tired
ربنا يحميك انتا وزكرياااااا .... بس تعالا هنا مش تباركلي ^^ ...^^,سعيد,emotional_tone
طب انا فعلا خايفه من المستقبل ..خايفه منقدرش كاسره نسيرفايف بنفس الطريقه اللي عايشين بيها وننزل طبقه..الموضوع مرعب,متوتر,emotional_tone
بسبب الضغط أحس أن جسمي ثقيل وودي أختفي عن كل شيء اليوم.,تعبان,synthetic_tired
:  علي فكره تريد  الموت 😨 ارمي  نفسك ب  البحر ستري انك  تصارع لكي  تعيش 🤕 انت  لا تريد ان تموت ✋بل تريد  قتل ماتركه  الناس في…,حزين,emotional_tone
تسلملي يارب,سعيد,emotional_tone
اليوم مرتاح نفسيًا وكأن كل شيء في مكانه الصحيح.,هادئ,synthetic_calm
wdx مش معقوووول من يصدق,متفاجئ,emotional_tone
صباحي كان هادئ ومرتاح والحمدلله على هالنعمة.,هادئ,synthetic_calm
بسبب الضغط مرهق جسديًا ونفسيًا وأحتاج أرتاح شوي.,تعبان,synthetic_tired
بعيداً عن الرياضه يا جماعه في كم مشاعر رهيب ف الاوليمبياد فيه متعه ف الفُرجه عليه زي اللعب واكتر .,سعيد,emotional_tone
في 2011 لم يكن خفيا عداء حفتر و اللواء يونس. و لكن اتهم الزنادقه و الارهابيين بقتل اللواء يونس رحمه الله.,غاضب,emotional_tone
بعد دقائق من فوزها باولي ميداليات  مصر في  الاوليمبياد... هاشتاج  ساره سمير يتصدر  تويتر 💪💪💪,سعيد,emotional_tone
من بدري أشعر بإجهاد من كل شيء وأحتاج أرتاح شوي.,تعبان,synthetic_tired
من كثر التفكير مرهق جسديًا ونفسيًا ومو قادر أركز على أي شيء.,تعبان,synthetic_tired
اتصل بنا واقض اجمل الاوقات في تركيا 00902125100660 00905385878555 فايبر واتساب تانغو info .com,سعيد,emotional_tone
مزاجي اليوم كان هادئ ومرتاح والحمدلله على هالنعمة.,هادئ,synthetic_calm
مبسوط فشخ ان اخويا الصغير بيتابع الاوليمبياد و نفسه يشارك في الدورات الجايه و بيقولي عاوز اتعلم اي رياضه و احاول اعمل فيها اي حاجه,سعيد,emotional_tone
هاليومين أقرب للسكينة وكأن كل شيء في مكانه الصحيح.,هادئ,synthetic_calm
امريكي يبتكر اداه تستخدمها الشرطه عند مطارده السيارات الهاربه لايقافها بطريقه امنه!  ابتكارات,متفاجئ,emotional_tone
وقتي الحالي أقرب للسكينة وكأن كل شيء في مكانه الصحيح.,هادئ,synthetic_calm
حاليًا مليان هدوء وأتمنى تبقى هالفترة بهذا الهدوء.,هادئ,synthetic_calm
يبقوا ما يشاركوش في الاوليمبياد احسن,حزين,emotional_tone
حلب عفرين  اعتقال عشرات الشباب من قريه باسوطه في ريف عفرين من قبل قوات YPG وهروب العشرات منهم خوفاً من سحبهم للتجنيد الاجباري .   انتهاكات,حزين,emotional_tone
نفس الندم الي كنت خايفه منه حصل اللهُم صبر ايوب.,متوتر,emotional_tone
ياغيابهم .. ليتك تذوق غيابهم : ((,حزين,emotional_tone
هاليومين كان هادئ ومرتاح بدون أي دراما أو مشاكل.,هادئ,synthetic_calm
os9: اعاني من خوف مستمر لدرجه ابغا يصير اللي اخاف منه عشان ابطّل اخاف..بس اني خايفه.,متوتر,emotional_tone
اليوم طاقتي كانت شبه منتهية وأتمنى ألقى وقت أريح فيه بالي.,تعبان,synthetic_tired
وقتي الحالي كان رايق بدون إزعاج وما كان في شيء يضايقني.,هادئ,synthetic_calm
الله,سعيد,emotional_tone
الصراحه احساس مخزي ونحن نكتفي بالتمثيل المشرف فقط في الاوليمبياد  عاوزين صحوه رياضيه,حزين,emotional_tone
بسبب الضغط ما عندي طاقة حتى للأشياء البسيطة وأفكر آخذ وقت لنفسي.,تعبان,synthetic_tired
بسبب الضغط ما عندي طاقة حتى للأشياء البسيطة ومو قادر أركز على أي شيء.,تعبان,synthetic_tired
اليوم مرهق جسديًا ونفسيًا وأحس أني مستهلك من كثر الإلتزامات.,تعبان,synthetic_tired
elsawy   !! ما تعقلوا الكلمه ياخوانا ! 🙄😂😂,متفاجئ,emotional_tone
اليوم ما فيه توتر أو قلق وما كان في شيء يضايقني.,هادئ,synthetic_calm
اوحش حاجه في الدنيا تبقي عايش و انت مش عارف انت عايش علشان ايه و ملكش هدف !,حزين,emotional_tone
العراق ايران تستنزف الشباب العربي بخلق الفتن والتحريض والشحن الطائفي 2000 قتيل وجريح بالعراق خلال شهر تموز 2016م بسبب المد الطغيان الفارسي,غاضب,emotional_tone
الفضل لله عز وجل وحده ومنته الاعلان عن فك الحصار عن 300000 محاصر داخل حلب كلنا جيش الفتح,سعيد,emotional_tone
من الصباح أحس أن جسمي ثقيل وأحتاج أوقف كل شيء بس عشان أتنفس.,تعبان,synthetic_tired
سلم علي اليمن اذا دخلت قضيتها بيت الدول الملحده سيعيث الحوثيون فسادا وعهرا وسيجراون علي دول الخليج بمعاونه الخونه فيها,حزين,emotional_tone
الاهلي مغلوب 3,حزين,emotional_tone
من بدري حاس إني تعبان جدًا وودي أختفي عن كل شيء اليوم.,تعبان,synthetic_tired
مبروك لمصر ثاني برونزيه لمصر في الاوليمبياد عن طريق ايهاب محمد في رفع الاثقال....يلااااا احسن من مفيش..󾌰󾌰󾌰󾌰,سعيد,emotional_tone
صباحي كان بسيط وبدون ضغوط وحسّيت أن قلبي مطمّن.,هادئ,synthetic_calm
:  الــــــم ااهَ يَا زمن تجمع شخص بشخص صدفہَ وتفرق ﺎلاشخاصَ بلحظہ😔💔 .,حزين,emotional_tone
بحس بامان يملاني لو بنطق حروف اسمك ساعتها لو بموت ترجعلي روحي .  في حاجه نفسي فيها ياما حلمت بيها تخدني حبيبي في حضنك ويقف الزمان  سميره,سعيد,emotional_tone
خلال اليوم مليان تعب داخلي وأتمنى ألقى وقت أريح فيه بالي.,تعبان,synthetic_tired
